feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003478505	Group	PD	GroupPD	-0.061469123	0.237902005	0.192976307	0.139492196	0.625363891	0.139492196	0.625363891	NA	abundance	146	22
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__Merdibacter merdipullorum	Group	PD	GroupPD	-0.401282574	0.237902005	0.415808713	0.144314877	0.639795956	0.144314877	0.639795956	NA	abundance	146	18
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter laneus	Group	PD	GroupPD	-0.644802149	0.237902005	0.583557386	0.146333127	0.64161448	0.146333127	0.64161448	NA	abundance	146	22
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii	Group	PD	GroupPD	-0.345891663	0.237902005	0.38254291	0.14978632	0.644025631	0.14978632	0.644025631	NA	abundance	146	16
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Group	PD	GroupPD	-0.092181767	0.237902005	0.22621258	0.150111237	0.644025631	0.150111237	0.644025631	NA	abundance	146	88
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Group	PD	GroupPD	-0.091052376	0.237902005	0.228831546	0.155345953	0.657189898	0.155345953	0.657189898	NA	abundance	146	113
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Onthomonas;s__Onthomonas sp003150485	Group	PD	GroupPD	-0.198947288	0.237902005	0.299562358	0.156473785	0.657189898	0.156473785	0.657189898	NA	abundance	146	32
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B zhanii	Group	PD	GroupPD	-0.156959267	0.237902005	0.268054966	0.158817241	0.660084159	0.158817241	0.660084159	NA	abundance	146	20
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	Group	PD	GroupPD	0.568323541	0.237902005	0.234937719	0.165049509	0.670085047	0.165049509	0.670085047	NA	abundance	146	87
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13006;s__HGM13006 sp900756575	Group	PD	GroupPD	0.563488546	0.237902005	0.226732766	0.17010332	0.670085047	0.17010332	0.670085047	NA	abundance	146	20
