Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_225P_filtered_prinseq_2	pass	0.0	pass	131.879377557	Sanger / Illumina 1.9	pass	767.8 Mbp	60-151	Conventional base calls	pass	pass	warn	5787646.0	pass	warn	pass	46.0	96.6456575213	PD_225P_filtered_prinseq_2.fastq	fail	pass
PD_226S_filtered_prinseq_1	pass	0.0	pass	132.960791187	Sanger / Illumina 1.9	pass	585.3 Mbp	60-151	Conventional base calls	pass	warn	warn	4376210.0	pass	warn	pass	47.0	98.1573591984	PD_226S_filtered_prinseq_1.fastq	fail	pass
PD_226S_filtered_prinseq_2	pass	0.0	pass	132.834460869	Sanger / Illumina 1.9	pass	584.8 Mbp	60-151	Conventional base calls	pass	warn	warn	4376210.0	pass	warn	pass	47.0	98.1657637935	PD_226S_filtered_prinseq_2.fastq	fail	pass
PD_227P_filtered_prinseq_1	pass	0.0	pass	124.60050078	Sanger / Illumina 1.9	pass	486.7 Mbp	60-151	Conventional base calls	pass	pass	warn	3883542.0	pass	pass	pass	47.0	98.6519842098	PD_227P_filtered_prinseq_1.fastq	fail	pass
PD_227P_filtered_prinseq_2	pass	0.0	pass	124.603784895	Sanger / Illumina 1.9	pass	486.7 Mbp	60-151	Conventional base calls	pass	pass	warn	3883542.0	pass	pass	pass	47.0	98.6109322521	PD_227P_filtered_prinseq_2.fastq	fail	pass
PD_228S_filtered_prinseq_1	pass	0.0	pass	134.511455651	Sanger / Illumina 1.9	pass	659.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4872137.0	pass	pass	pass	47.0	98.7039258322	PD_228S_filtered_prinseq_1.fastq	fail	pass
PD_228S_filtered_prinseq_2	pass	0.0	pass	134.418493569	Sanger / Illumina 1.9	pass	658.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4872137.0	pass	pass	pass	47.0	98.7190360216	PD_228S_filtered_prinseq_2.fastq	fail	pass
PD_229P_filtered_prinseq_1	pass	0.0	pass	132.367925377	Sanger / Illumina 1.9	pass	630.5 Mbp	60-151	Conventional base calls	pass	warn	warn	4735482.0	pass	pass	pass	48.0	97.5039240182	PD_229P_filtered_prinseq_1.fastq	fail	pass
PD_229P_filtered_prinseq_2	pass	0.0	pass	132.335042135	Sanger / Illumina 1.9	pass	630.4 Mbp	60-151	Conventional base calls	pass	warn	warn	4735482.0	pass	pass	pass	48.0	97.5143397897	PD_229P_filtered_prinseq_2.fastq	fail	pass
PD_230S_filtered_prinseq_1	pass	0.0	pass	134.849758919	Sanger / Illumina 1.9	pass	639.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4713977.0	pass	pass	pass	46.0	96.828080806	PD_230S_filtered_prinseq_1.fastq	fail	pass
PD_230S_filtered_prinseq_2	pass	0.0	pass	134.795438332	Sanger / Illumina 1.9	pass	639.2 Mbp	60-151	Conventional base calls	pass	pass	warn	4713977.0	pass	pass	pass	46.0	96.7987857334	PD_230S_filtered_prinseq_2.fastq	fail	pass
